factor_id,factor_family,family_description,question,factor_name,source_file,source_column,value_range,interpretation,signal_direction,update_frequency,preferred_use,note
F01,same_sector_recent_strength,같은 섹터 안에서 최근 관심도가 얼마나 강해지고 있는가,이 섹터의 검색 관심도가 자기 자신의 과거 대비 최근에 강해지고 있는가?,ratio_momentum_1m,naver_datalab_sector_interest_factor_month.csv,ratio,연속 실수 (보통 -1~+2),양수: 지난달 대비 검색 비중 증가(관심도 상승). 음수: 감소. 절대값이 클수록 변화 폭이 큼.,"양수 = 상승 모멘텀. 단, 급등 후 반전 주의.",월 1회,단기 진입 타이밍,절대 검색량 아님 — 기간 내 상대 지수
F02,same_sector_recent_strength,같은 섹터 안에서 최근 관심도가 얼마나 강해지고 있는가,이 섹터의 검색 관심도가 자기 자신의 과거 대비 3개월 추세로 강해지고 있는가?,ratio_momentum_3m,naver_datalab_sector_interest_factor_month.csv,ratio,연속 실수 (보통 -2~+3),최근 3개월 관심도 변화율. 추세 지속성 파악에 유리.,양수 = 지속 상승. 음수 = 지속 하락.,월 1회,스윙 진입 확인,1M 모멘텀보다 노이즈 적음
F03,same_sector_recent_strength,같은 섹터 안에서 최근 관심도가 얼마나 강해지고 있는가,이 섹터의 검색 관심도가 자기 자신의 12개월 분포에서 어느 위치인가?,ratio_zscore_12m,naver_datalab_sector_interest_factor_month.csv,ratio,-2~+2 (정규화),+2 이상 = 12개월 기준 이례적 급등. -2 이하 = 이례적 침체.,+1 이상 = 과거 대비 높은 관심. -1 이하 = 과거 대비 낮은 관심.,월 1회,밸류에이션 관점 스크리닝,자기 자신의 역사와 비교 — 섹터 간 절대값 비교 불가
F04,market_relative_strength,전체 시장 검색 관심도 대비 특정 섹터가 얼마나 주목받고 있는가,전체 시장 검색량(market_anchor) 대비 이 섹터의 관심도가 높은가?,anchor_relative_ratio_winsorized,naver_datalab_sector_interest_factor_month.csv,anchor_relative_ratio,"0 이상 실수 (중앙값 ~1, 상위권 3~50)",1이면 시장 평균 수준. 10이면 시장 평균의 10배 관심. 이상치 winsorize 처리 완료.,값이 클수록 시장 내 주목도 높음 → 강세 관심 집중 섹터.,월 1회,섹터 로테이션 선정,anchor = KOSPI+KOSDAQ 대표 키워드 집합. chunk별 정규화로 절대값 비교 가능
F05,market_relative_strength,전체 시장 검색 관심도 대비 특정 섹터가 얼마나 주목받고 있는가,시장 대비 상대 관심도가 최근 3개월간 강해지고 있는가?,anchor_relative_momentum_3m,naver_datalab_sector_interest_factor_month.csv,anchor_relative_ratio_winsorized,연속 실수,시장 대비 상대 관심도의 3개월 변화. 양수 = 시장 대비 관심도 상승 중.,양수 전환 = 새로운 관심 집중 신호.,월 1회,섹터 로테이션 진입 타이밍,F04보다 추세 변화에 민감
F06,market_relative_strength,전체 시장 검색 관심도 대비 특정 섹터가 얼마나 주목받고 있는가,시장 대비 상대 관심도가 역사적으로 높은 수준인가?,anchor_relative_zscore_12m,naver_datalab_sector_interest_factor_month.csv,anchor_relative_ratio_winsorized,-2~+2,+1.5 이상 = 역사적 고점 주목. -1.5 이하 = 역사적 저점 소외.,+1 이상 = 역사적 강세 구간. 과열 주의.,월 1회,과열/침체 판단,
F07,cross_sector_current_rank,이번 달 전체 35개 섹터 중 이 섹터의 관심도 순위는 어느 위치인가,현재 시점 전체 섹터 중 이 섹터의 상대 관심도 순위는?,relative_rank_pct,naver_datalab_sector_interest_factor_month.csv,anchor_relative_ratio_winsorized,"0~1 (0=최하위, 1=최상위)",0.8이면 전체 섹터 중 상위 20%. 매월 갱신되는 상대 순위.,0.8 이상 = 현재 주목 상위 섹터. 0.2 이하 = 소외 섹터.,월 1회,섹터 선정 필터 (당월 상위 집중),절대값이 아니라 순위 — 매달 기준이 달라짐
F08,cross_sector_current_rank,이번 달 전체 35개 섹터 중 이 섹터의 관심도 순위는 어느 위치인가,이 섹터가 전체 섹터 분포에서 통계적으로 이상치(outlier) 수준인가?,relative_zscore_cross_sectional,naver_datalab_sector_interest_factor_month.csv,anchor_relative_ratio_winsorized,보통 -2~+3 (오른쪽 꼬리 존재),+2 이상 = 당월 압도적 1위권 섹터. 집중 매수 근거 가능.,+1.5 이상 = 이달의 압도적 관심 섹터.,월 1회,집중 포지션 진입 근거,internet 섹터가 종종 +3 이상 (이상치)
F09,cross_sector_current_rank,이번 달 전체 35개 섹터 중 이 섹터의 관심도 순위는 어느 위치인가,이 섹터가 현재 전체 섹터 상위 20%에 속하는가?,top_20pct_flag,naver_datalab_sector_interest_factor_month.csv,relative_rank_pct,True / False,True = 이달 관심도 상위 7개 섹터 이내. 매수 스크리닝 바이너리 필터.,True = 매수 후보 포함. False = 제외.,월 1회,유니버스 필터링 (매수 후보 선별),F07의 0.8 이상과 동일 개념
F10,market_macro_regime,현재 거시 환경이 risk_on / neutral / risk_off 중 어느 국면인가,지금 시장이 risk-on / risk-off / 중립 중 어느 국면인가?,market_regime,market_macro_regime_month.csv,risk_on_flag + risk_off_flag 조합,'risk_on' / 'neutral' / 'risk_off',risk_on = 성장주·사이클 섹터 유리. risk_off = 방어주·현금 유리. neutral = 선별적 접근. 현재: neutral.,risk_on → 공격적 비중. risk_off → 방어적 비중.,월 1회,포트폴리오 전체 방향성 결정,"DXY Z-score, VIX Z-score, 한국 수출, KOSDAQ 수익률 등 복합 룰 기반"
